order_id,customer_id,customer_name,customer_email,product_name,category,price,quantity,discount_percent,total_amount,order_date,shipping_city,shipping_province,payment_method,order_status,rating,review_text,is_member,delivery_days,weight_kg
100877,2275,Duangjai Panyawong,duangjai.panyawong834@hotmail.com,Smart Sneaker 250,Groceries,1269.94,8,20.0,8127.62,2024-04-25,Sakon Nakhon,Udon Thani,Bank Transfer,Completed,,,No,6.0,
104885,2071,Siriporn Thongdee,siriporn.thongdee946@yahoo.com,Ultra Mouse 650,Health,655.53,6,0.0,3933.18,2025-10-01,Buriram,Phuket,PromptPay,Completed,4.0,,No,6.0,0.43
102484,1778,Nittaya Sinthop,nittaya.sinthop745@gmail.com,Max Desk 287,Automotive,198.91,7,0.0,1392.37,2025-09-16,Nakhon Ratchasima,Chiang Mai,COD,Completed,2.0,บริการลูกค้าดีเยี่ยม,No,,1.87
102288,1359,Rungnapa Intharak,rungnapa.intharak508@gmail.com,Plus Camera 119,Fashion,,3,5.0,1104.0,2024-11-02,Rayong,Chonburi,PromptPay,Completed,3.0,แพ็คเกจไม่แน่นหนา,Yes,1.0,2.53
100811,2092,Chomphunut Phetcharat,chomphunut.phetcharat181@hotmail.com,Lite Lamp 378,Toys,239.89,1,10.0,215.9,2024-08-20,Chiang Mai,Nonthaburi,PromptPay,Processing,,สีไม่ตรงตามรูป,No,5.0,1.37
100248,1972,Chaiyot Chaiyaporn,chaiyot.chaiyaporn467@outlook.com,Smart Chair 588,Books,,1,,606.09,2023-07-09,Pattaya,Khon Kaen,Bank Transfer,Cancelled,,โอเคสำหรับราคานี้,No,14.0,
103298,1380,Siriporn Naruemon,siriporn.naruemon412@yahoo.com,Lite Blender 513,Automotive,358.69,4,20.0,1147.81,2025-10-29,Nakhon Si Thammarat,Chonburi,Bank Transfer,Completed,2.0,ใช้งานได้ตามที่คาดหวัง,Yes,12.0,9.8
100106,1269,Prasert Saelim,prasert.saelim295@hotmail.com,Plus Bottle 235,Sports,682.52,7,0.0,4777.64,2025-01-28,Pattaya,Rayong,PromptPay,Processing,3.0,,No,4.0,1.62
100279,2409,Chomphunut Rattanakul,chomphunut.rattanakul153@yahoo.com,Mini Desk 105,Electronics,107.03,3,25.0,240.82,2023-10-15,Hat Yai,Phuket,COD,Shipped,,คุณภาพต่ำกว่าที่คิด,Yes,9.0,2.44
101281,2392,Chaiyot Wattana,chaiyot.wattana931@gmail.com,Mini Mouse 286,Beauty,478.23,7,0.0,3347.61,2024-12-17,Krabi,Rayong,Bank Transfer,Processing,,,Yes,12.0,1.4
102822,1310,Duangjai Sukjai,duangjai.sukjai314@hotmail.com,Smart Charger 290,Sports,273.62,8,5.0,2079.51,2025-01-27,Khon Kaen,Khon Kaen,Bank Transfer,Completed,,ของมาช้ากว่ากำหนด,No,12.0,0.95
104159,2860,Nittaya Intharak,nittaya.intharak144@hotmail.com,Eco Backpack 423,Books,686.37,7,0.0,4804.59,2025-04-30,Nakhon Ratchasima,Chiang Mai,TrueMoney Wallet,Completed,,แพ็คเกจไม่แน่นหนา,No,10.0,0.1
101981,1046,Somkiat Saelim,somkiat.saelim260@yahoo.com,Lite Camera 361,Sports,622.87,4,30.0,1744.04,2025-08-26,Lampang,Bangkok,COD,Completed,,,No,7.0,2.48
103970,1160,Orawan Yodying,orawan.yodying24@hotmail.com,Pro Headphone 675,Toys,75.81,7,30.0,371.47,2025-05-10,Nakhon Si Thammarat,Nakhon Ratchasima,TrueMoney Wallet,Shipped,4.0,สินค้าดีมาก คุ้มราคา,No,1.0,0.55
100333,1763,Sombat Prasertsak,sombat.prasertsak649@hotmail.com,Lite Keyboard 870,Sports,901.49,1,5.0,856.42,2025-04-18,Nakhon Ratchasima,Nakhon Ratchasima,TrueMoney Wallet,Completed,4.0,,,8.0,0.68
103064,1580,Siriporn Sinthop,siriporn.sinthop8@gmail.com,Smart Keyboard 406,Beauty,548.02,3,0.0,1644.06,2023-01-18,Nakhon Ratchasima,Chiang Mai,PromptPay,Completed,4.0,โอเคสำหรับราคานี้,No,4.0,1.19
100501,1569,Chaiyot Naruemon,chaiyot.naruemon631@yahoo.com,Plus Chair 639,Toys ,1282.32,3,0.0,3846.96,2023-12-04,Nakhon Ratchasima,Phuket,Bank Transfer,Completed,,บริการลูกค้าดีเยี่ยม,No,11.0,
102092,2981,Sombat Naruemon,sombat.naruemon1@hotmail.com,Plus Mouse 184,Books,863.59,7,0.0,6045.13,2023-11-15,Khon Kaen,Nakhon Ratchasima,Installment,Completed,1.0,,No,5.0,2.24
103253,1011,Somchai Saelim,somchai.saelim576@gmail.com,Mini Jacket 996,Sports,171.55,4,0.0,686.2,2025-10-15,Phuket,Udon Thani,TrueMoney Wallet,Cancelled,,,No,12.0,0.35
101477,2523,Siriporn Sukjai,siriporn.sukjai489@hotmail.com,Lite Backpack 350,toys,248.18,5,30.0,868.63,2024-02-01,Nong Khai,Nakhon Ratchasima,Credit Card,Shipped,5.0,จะกลับมาซื้อซ้ำแน่นอน,No,13.0,3.53
104449,2745,Duangjai Chantra,duangjai.chantra860@yahoo.com,Plus Lamp 701,Electronics,1019.25,9,0.0,9173.25,2024-04-18,Phuket,Bangkok,Credit Card,Completed,5.0,ใช้งานได้ตามที่คาดหวัง,Yes,9.0,2.26
102547,2713,Orawan Rattanakul,orawan.rattanakul275@outlook.com,Pro Headphone 467,Home & Living,194.69,4,0.0,778.76,2023-09-11,,Khon Kaen,,Completed,5.0,คุณภาพต่ำกว่าที่คิด,No,11.0,0.66
102841,1800,Yupin Intharak,yupin.intharak908@hotmail.com,Smart Sneaker 857,Health,642.95,8,5.0,4886.42,2023-12-06,Krabi,Songkhla,Credit Card,Completed,1.0,,No,,3.49
101158,2543,Rungnapa Sukjai,rungnapa.sukjai79@hotmail.com,Smart Watch 271,Electronics,60.21,7,0.0,421.47,2023-10-26,Chiang Rai,Chonburi,PromptPay,Shipped,5.0,แพ็คเกจไม่แน่นหนา,No,8.0,0.13
